300,6,4.95,0.5,1,1.98,0.2,2236.3
300,6,4.95,0.5,1,1.98,0.4,2233.2
300,6,4.95,0.5,1,1.98,0.6,2230.5
300,6,4.95,0.5,1,4.95,0.2,939.12
300,6,4.95,0.5,1,4.95,0.4,938.63
300,6,4.95,0.5,1,4.95,0.6,938.18
300,6,4.95,0.5,1,9.9,0.2,364.64
300,6,4.95,0.5,1,9.9,0.4,365.25
300,6,4.95,0.5,1,9.9,0.6,365.86
300,6,4.95,0.5,1,19.8,0.2,273.67
300,6,4.95,0.5,1,19.8,0.4,278.39
300,6,4.95,0.5,1,19.8,0.6,282.84
300,6,4.95,0.7,1,1.98,0.2,3017
300,6,4.95,0.7,1,1.98,0.4,3011.3
300,6,4.95,0.7,1,1.98,0.6,3006.4
300,6,4.95,0.7,1,4.95,0.2,1306.5
300,6,4.95,0.7,1,4.95,0.4,1305.5
300,6,4.95,0.7,1,4.95,0.6,1304.7
300,6,4.95,0.7,1,9.9,0.2,507.97
300,6,4.95,0.7,1,9.9,0.4,509.17
300,6,4.95,0.7,1,9.9,0.6,510.37
300,6,4.95,0.7,1,19.8,0.2,372.2
300,6,4.95,0.7,1,19.8,0.4,381.3
300,6,4.95,0.7,1,19.8,0.6,389.9
300,6,4.95,0.9,1,1.98,0.2,3740.9
300,6,4.95,0.9,1,1.98,0.4,3731.9
300,6,4.95,0.9,1,1.98,0.6,3724.1
300,6,4.95,0.9,1,4.95,0.2,1669.2
300,6,4.95,0.9,1,4.95,0.4,1667.6
300,6,4.95,0.9,1,4.95,0.6,1666.2
300,6,4.95,0.9,1,9.9,0.2,649.86
300,6,4.95,0.9,1,9.9,0.4,651.85
300,6,4.95,0.9,1,9.9,0.6,653.83
300,6,4.95,0.9,1,19.8,0.2,464.81
300,6,4.95,0.9,1,19.8,0.4,479.6
300,6,4.95,0.9,1,19.8,0.6,493.63
300,6,9.9,0.5,1,1.98,0.2,2173.2
300,6,9.9,0.5,1,1.98,0.4,2172
300,6,9.9,0.5,1,1.98,0.6,2171
300,6,9.9,0.5,1,4.95,0.2,957.42
300,6,9.9,0.5,1,4.95,0.4,957.18
300,6,9.9,0.5,1,4.95,0.6,956.96
300,6,9.9,0.5,1,9.9,0.2,473.49
300,6,9.9,0.5,1,9.9,0.4,473.72
300,6,9.9,0.5,1,9.9,0.6,473.96
300,6,9.9,0.5,1,19.8,0.2,429.49
300,6,9.9,0.5,1,19.8,0.4,434.77
300,6,9.9,0.5,1,19.8,0.6,438.91
300,6,9.9,0.7,1,1.98,0.2,2899.9
300,6,9.9,0.7,1,1.98,0.4,2897.8
300,6,9.9,0.7,1,1.98,0.6,2895.9
300,6,9.9,0.7,1,4.95,0.2,1325.8
300,6,9.9,0.7,1,4.95,0.4,1325.4
300,6,9.9,0.7,1,4.95,0.6,1324.9
300,6,9.9,0.7,1,9.9,0.2,659.58
300,6,9.9,0.7,1,9.9,0.4,660.03
300,6,9.9,0.7,1,9.9,0.6,660.5
300,6,9.9,0.7,1,19.8,0.2,584.28
300,6,9.9,0.7,1,19.8,0.4,594.31
300,6,9.9,0.7,1,19.8,0.6,602.22
300,6,9.9,0.9,1,1.98,0.2,3559.2
300,6,9.9,0.9,1,1.98,0.4,3556
300,6,9.9,0.9,1,1.98,0.6,3553.1
300,6,9.9,0.9,1,4.95,0.2,1686.2
300,6,9.9,0.9,1,4.95,0.4,1685.5
300,6,9.9,0.9,1,4.95,0.6,1684.8
300,6,9.9,0.9,1,9.9,0.2,843.78
300,6,9.9,0.9,1,9.9,0.4,844.54
300,6,9.9,0.9,1,9.9,0.6,845.3
300,6,9.9,0.9,1,19.8,0.2,730.03
300,6,9.9,0.9,1,19.8,0.4,746.12
300,6,9.9,0.9,1,19.8,0.6,758.89
300,6,19.8,0.5,1,1.98,0.2,1699.4
300,6,19.8,0.5,1,1.98,0.4,1699
300,6,19.8,0.5,1,1.98,0.6,1698.5
300,6,19.8,0.5,1,4.95,0.2,944.86
300,6,19.8,0.5,1,4.95,0.4,944.73
300,6,19.8,0.5,1,4.95,0.6,944.6
300,6,19.8,0.5,1,9.9,0.2,520.52
300,6,19.8,0.5,1,9.9,0.4,520.57
300,6,19.8,0.5,1,9.9,0.6,520.62
300,6,19.8,0.5,1,19.8,0.2,654.5
300,6,19.8,0.5,1,19.8,0.4,656.83
300,6,19.8,0.5,1,19.8,0.6,658.47
300,6,19.8,0.7,1,1.98,0.2,2267
300,6,19.8,0.7,1,1.98,0.4,2266.2
300,6,19.8,0.7,1,1.98,0.6,2265.5
300,6,19.8,0.7,1,4.95,0.2,1302.1
300,6,19.8,0.7,1,4.95,0.4,1301.8
300,6,19.8,0.7,1,4.95,0.6,1301.6
300,6,19.8,0.7,1,9.9,0.2,722.73
300,6,19.8,0.7,1,9.9,0.4,722.84
300,6,19.8,0.7,1,9.9,0.6,722.95
300,6,19.8,0.7,1,19.8,0.2,897.01
300,6,19.8,0.7,1,19.8,0.4,901.41
300,6,19.8,0.7,1,19.8,0.6,904.53
300,6,19.8,0.9,1,1.98,0.2,2782.1
300,6,19.8,0.9,1,1.98,0.4,2780.9
300,6,19.8,0.9,1,1.98,0.6,2779.8
300,6,19.8,0.9,1,4.95,0.2,1648.2
300,6,19.8,0.9,1,4.95,0.4,1647.8
300,6,19.8,0.9,1,4.95,0.6,1647.4
300,6,19.8,0.9,1,9.9,0.2,921.67
300,6,19.8,0.9,1,9.9,0.4,921.84
300,6,19.8,0.9,1,9.9,0.6,922.02
300,6,19.8,0.9,1,19.8,0.2,1129.2
300,6,19.8,0.9,1,19.8,0.4,1136.2
300,6,19.8,0.9,1,19.8,0.6,1141.2
300,6,49.5,0.5,1,1.98,0.2,988.59
300,6,49.5,0.5,1,1.98,0.4,988.4
300,6,49.5,0.5,1,1.98,0.6,988.23
300,6,49.5,0.5,1,4.95,0.2,898.65
300,6,49.5,0.5,1,4.95,0.4,898.57
300,6,49.5,0.5,1,4.95,0.6,898.5
300,6,49.5,0.5,1,9.9,0.2,748.55
300,6,49.5,0.5,1,9.9,0.4,748.55
300,6,49.5,0.5,1,9.9,0.6,748.55
300,6,49.5,0.5,1,19.8,0.2,797.74
300,6,49.5,0.5,1,19.8,0.4,798.64
300,6,49.5,0.5,1,19.8,0.6,799.25
300,6,49.5,0.7,1,1.98,0.2,1323.8
300,6,49.5,0.7,1,1.98,0.4,1323.5
300,6,49.5,0.7,1,1.98,0.6,1323.1
300,6,49.5,0.7,1,4.95,0.2,1237
300,6,49.5,0.7,1,4.95,0.4,1236.8
300,6,49.5,0.7,1,4.95,0.6,1236.7
300,6,49.5,0.7,1,9.9,0.2,1026
300,6,49.5,0.7,1,9.9,0.4,1026
300,6,49.5,0.7,1,9.9,0.6,1026
300,6,49.5,0.7,1,19.8,0.2,1091.8
300,6,49.5,0.7,1,19.8,0.4,1093.5
300,6,49.5,0.7,1,19.8,0.6,1094.7
300,6,49.5,0.9,1,1.98,0.2,1630.5
300,6,49.5,0.9,1,1.98,0.4,1630
300,6,49.5,0.9,1,1.98,0.6,1629.5
300,6,49.5,0.9,1,4.95,0.2,1564
300,6,49.5,0.9,1,4.95,0.4,1563.8
300,6,49.5,0.9,1,4.95,0.6,1563.6
300,6,49.5,0.9,1,9.9,0.2,1292.1
300,6,49.5,0.9,1,9.9,0.4,1292.2
300,6,49.5,0.9,1,9.9,0.6,1292.2
300,6,49.5,0.9,1,19.8,0.2,1372.6
300,6,49.5,0.9,1,19.8,0.4,1375.4
300,6,49.5,0.9,1,19.8,0.6,1377.2
300,9,4.95,0.5,1,1.98,0.2,2277.7
300,9,4.95,0.5,1,1.98,0.4,2275.9
300,9,4.95,0.5,1,1.98,0.6,2274.2
300,9,4.95,0.5,1,4.95,0.2,948.39
300,9,4.95,0.5,1,4.95,0.4,948.4
300,9,4.95,0.5,1,4.95,0.6,948.4
300,9,4.95,0.5,1,9.9,0.2,366.96
300,9,4.95,0.5,1,9.9,0.4,367.16
300,9,4.95,0.5,1,9.9,0.6,367.36
300,9,4.95,0.5,1,19.8,0.2,224.35
